date,confirmed_cases,active_cases,new_confirmed_cases
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,1,1,1
2020-03-21,1,1,0
2020-03-22,1,1,0
2020-03-23,1,1,0
2020-03-24,1,1,0
2020-03-25,1,1,0
2020-03-26,3,3,2
2020-03-27,5,5,2
2020-03-28,5,5,0
2020-03-29,5,5,0
2020-03-30,10,10,5
2020-03-31,11,11,1
2020-04-01,13,13,2
2020-04-02,16,16,3
2020-04-03,19,19,3
2020-04-04,24,24,5
2020-04-05,28,28,4
2020-04-06,32,32,4
2020-04-07,36,36,4
2020-04-08,42,42,6
2020-04-09,50,50,8
2020-04-10,57,57,7
2020-04-11,62,62,5
2020-04-12,66,66,4
2020-04-13,74,74,8
2020-04-14,75,75,1
2020-04-15,84,84,9
2020-04-16,117,117,33
2020-04-17,122,120,5
2020-04-18,128,126,6
2020-04-19,137,134,9
2020-04-20,141,137,4
2020-04-21,155,149,14
2020-04-22,167,149,12
2020-04-23,176,153,9
2020-04-24,192,163,16
2020-04-25,197,166,5
2020-04-26,201,170,4
2020-04-27,215,181,14
2020-04-28,230,194,15
2020-04-29,244,188,14
2020-04-30,253,196,9
2020-05-01,388,328,135
2020-05-02,394,333,6
2020-05-03,395,333,1
2020-05-04,397,320,2
2020-05-05,461,376,64
2020-05-06,468,379,7
2020-05-07,513,398,45
2020-05-08,569,450,56
2020-05-09,571,450,2
2020-05-10,571,438,0
2020-05-11,579,442,8
2020-05-12,586,436,7
2020-05-13,659,499,73
2020-05-14,778,574,119
2020-05-15,890,682,112
2020-05-16,901,601,11
2020-05-17,908,592,7
2020-05-18,970,632,62
2020-05-19,1005,621,35
2020-05-20,1027,630,22
2020-05-21,1187,777,160
2020-05-22,1221,798,34
2020-05-23,1222,790,1
2020-05-24,1227,783,5
2020-05-25,1232,755,5
2020-05-26,1295,804,63
2020-05-27,1595,1093,300
2020-05-28,1801,1185,206
2020-05-29,2377,1676,576
2020-05-30,2383,1678,6
2020-05-31,2401,1690,18
2020-06-01,2432,1694,31
2020-06-02,2864,2081,432
2020-06-03,2886,2087,22
2020-06-04,2937,2001,51
2020-06-05,2989,2021,52
2020-06-06,3040,2062,51
2020-06-07,3041,2062,1
2020-06-08,3062,2071,21
2020-06-09,3142,2125,80
2020-06-10,3194,2132,52
2020-06-11,3218,2136,24
2020-06-12,3251,2162,33
2020-06-13,3280,2186,29
2020-06-14,3280,2122,0
2020-06-15,3460,2009,180
2020-06-16,3645,2183,185
2020-06-17,3684,1940,39
2020-06-18,3843,1891,159
2020-06-19,3902,1875,59
2020-06-20,3939,1871,37
2020-06-21,3945,1874,6
2020-06-22,4168,1851,223
2020-06-23,4554,2174,386
2020-06-24,4806,2300,252
2020-06-25,4977,2388,171
2020-06-26,5041,2399,64
2020-06-27,5044,2398,3
2020-06-28,5050,2375,6
2020-06-29,5359,2580,309
2020-06-30,5411,2617,52
2020-07-01,5444,2587,33
2020-07-02,5491,2617,47
2020-07-03,5582,2610,91
2020-07-04,5638,2577,56
2020-07-05,5655,2557,17
2020-07-06,5879,2705,224
2020-07-07,6146,2593,267
2020-07-08,6293,2445,147
2020-07-09,6441,2390,148
2020-07-10,6589,2422,148
2020-07-11,6655,2454,66
2020-07-12,6656,2411,1
2020-07-13,6789,2406,133
2020-07-14,6904,2324,115
2020-07-15,6976,2262,72
2020-07-16,7021,2065,45
2020-07-17,7159,2075,138
2020-07-18,7204,2090,45
2020-07-19,7210,2081,6
2020-07-20,7325,1954,115
2020-07-21,7529,2016,204
2020-07-22,7588,1987,59
2020-07-23,7662,1849,74
2020-07-24,7743,1788,81
2020-07-25,7749,1771,6
2020-07-26,7751,1733,2
2020-07-27,7839,1691,88
2020-07-28,8205,1750,366
2020-07-29,8237,1642,32
2020-07-30,8273,1555,36
2020-07-31,8334,1541,61
2020-08-01,8400,1506,66
2020-08-02,8411,1507,11
2020-08-03,8467,1416,56
2020-08-04,8601,1464,134
2020-08-05,8687,1447,86
2020-08-06,8763,1439,76
2020-08-07,8797,1391,34
2020-08-08,8823,1380,26
2020-08-09,8832,1320,9
2020-08-10,8994,1427,162
2020-08-11,9179,1387,185
2020-08-12,9479,1507,300
2020-08-13,9518,1439,39
2020-08-14,9588,1482,70
2020-08-15,9590,1435,2
2020-08-16,9590,1418,0
2020-08-17,9624,1419,34
2020-08-18,9739,1451,115
2020-08-19,9799,1369,60
2020-08-20,10004,1492,205
2020-08-21,10127,1561,123
2020-08-22,10134,1557,7
2020-08-23,10136,1552,2
2020-08-24,10196,1477,60
2020-08-25,10275,1403,79
2020-08-26,10484,1387,209
2020-08-27,10584,1360,100
2020-08-28,10624,1370,40
2020-08-29,10631,1355,7
2020-08-30,10634,1355,3
2020-08-31,10686,1343,52
2020-09-01,10999,1476,313
2020-09-02,11066,1479,67
2020-09-03,11247,1624,181
2020-09-04,11380,1507,133
2020-09-05,11383,1473,3
2020-09-06,11420,1482,37
2020-09-07,11445,1496,25
2020-09-08,11705,1677,260
2020-09-09,11849,1722,144
2020-09-10,11912,1588,63
2020-09-11,12087,1692,175
2020-09-12,12094,1681,7
2020-09-13,12108,1678,14
2020-09-14,12382,1912,274
2020-09-15,12516,1967,134
2020-09-16,12805,1979,289
2020-09-17,12873,1897,68
2020-09-18,13117,1988,244
2020-09-19,13132,1932,15
2020-09-20,13148,1931,16
2020-09-21,13266,1959,118
2020-09-22,13462,1983,196
2020-09-23,13810,2168,348
2020-09-24,13926,2168,116
2020-09-25,14179,2254,253
2020-09-26,14205,2263,26
2020-09-27,14216,2203,11
2020-09-28,14322,2174,106
2020-09-29,14523,2253,201
2020-09-30,14640,2130,117
2020-10-01,14763,2041,123
2020-10-02,14848,1943,85
2020-10-03,14852,1871,4
2020-10-04,14868,1866,16
2020-10-05,14880,1790,12
2020-10-06,14984,1770,104
2020-10-07,15026,1417,42
2020-10-08,15129,1380,103
2020-10-09,15172,1160,43
2020-10-10,15178,1134,6
2020-10-11,15184,1128,6
2020-10-12,15198,1022,14
2020-10-13,15236,965,38
2020-10-14,15266,778,30
2020-10-15,15289,656,23
2020-10-16,15301,621,12
2020-10-17,15306,620,5
2020-10-18,15308,585,2
2020-10-19,15316,552,8
2020-10-20,15355,563,39
2020-10-21,15375,471,20
2020-10-22,15400,377,25
