date,county,fips,population,confirmed_cases,reported_cases,probable_cases,reported_and_probable_cases,reported_deaths
2022-05-09,Alameda,001,1643700,268028,267982,14534,282516,1853
2022-05-09,Alpine,003,1148,125,125,1,126,0
2022-05-09,Amador,005,37829,8602,8564,666,9230,86
2022-05-09,Butte,007,227075,33348,33339,6738,40077,423
2022-05-09,Calaveras,009,45235,7369,7368,365,7733,120
2022-05-09,Colusa,011,21464,3462,3462,1076,4538,21
2022-05-09,Contra Costa,013,1133247,195210,195153,13796,208949,1302
2022-05-09,Del Norte,015,27424,5913,5911,204,6115,50
2022-05-09,El Dorado,017,186661,27168,27172,3256,30428,212
2022-05-09,Fresno,019,978130,233030,233021,24017,257038,2754
2022-05-09,Glenn,021,27897,5001,5001,1626,6627,48
2022-05-09,Humboldt,023,135768,17585,17585,3073,20658,146
2022-05-09,Imperial,025,180216,55751,55751,10941,66692,917
2022-05-09,Inyo,027,18085,4094,4093,514,4607,56
2022-05-09,Kern,029,883053,192863,192795,46550,239345,2292
2022-05-09,Kings,031,150075,51761,51752,3633,55385,447
2022-05-09,Lake,033,64148,10789,10786,907,11693,137
2022-05-09,Lassen,035,31185,8985,8984,889,9873,65
2022-05-09,Los Angeles,037,10098052,2761153,2761410,128228,2889638,31747
2022-05-09,Madera,039,155013,37521,37496,6087,43583,365
2022-05-09,Marin,041,260295,35334,35336,2938,38274,292
2022-05-09,Mariposa,043,17540,2462,2461,205,2666,30
2022-05-09,Mendocino,045,87422,13320,13320,3142,16462,124
2022-05-09,Merced,047,269075,62579,62567,8823,71390,818
2022-05-09,Modoc,049,8938,747,747,253,1000,8
2022-05-09,Mono,051,14174,2999,2999,128,3127,6
2022-05-09,Monterey,053,433212,80630,80534,14331,94865,733
2022-05-09,Napa,055,140530,26662,26660,1047,27707,143
2022-05-09,Nevada,057,99092,16224,16230,1245,17475,127
2022-05-09,Orange,059,3164182,556287,556265,42683,598948,7009
2022-05-09,Placer,061,380077,63839,63823,7502,71325,625
2022-05-09,Plumas,063,18699,2997,2998,364,3362,13
2022-05-09,Riverside,065,2383286,597319,597302,28570,625872,6468
2022-05-09,Sacramento,067,1510023,285826,285799,27745,313544,3020
2022-05-09,San Benito,069,59416,13087,13088,527,13615,98
2022-05-09,San Bernardino,071,2135413,571386,571372,25165,596537,7354
2022-05-09,San Diego,073,3302833,768136,768135,53559,821694,5257
2022-05-09,San Francisco,075,870044,134003,134027,8833,142860,864
2022-05-09,San Joaquin,077,732212,167981,167949,9968,177917,2233
2022-05-09,San Luis Obispo,079,281455,53409,53420,3972,57392,478
2022-05-09,San Mateo,081,765935,128824,128821,7558,136379,711
2022-05-09,Santa Barbara,083,443738,87614,87593,4872,92465,693
2022-05-09,Santa Clara,085,1922200,327196,327177,13089,340266,2294
2022-05-09,Santa Cruz,087,273765,50040,50031,2229,52260,263
2022-05-09,Shasta,089,179085,30771,30768,6177,36945,564
2022-05-09,Sierra,091,2930,275,275,49,324,4
2022-05-09,Siskiyou,093,43540,4479,4478,2778,7256,81
2022-05-09,Solano,095,438530,83476,83464,5671,89135,450
2022-05-09,Sonoma,097,501317,86798,86798,2930,89728,488
2022-05-09,Stanislaus,099,539301,118435,118445,17554,135999,1644
2022-05-09,Sutter,101,95872,20662,20668,2162,22830,225
2022-05-09,Tehama,103,63373,12102,12106,2633,14739,201
2022-05-09,Trinity,105,12862,1188,1188,296,1484,20
2022-05-09,Tulare,107,460477,107099,107068,28937,136005,1468
2022-05-09,Tuolumne,109,53932,12824,12829,578,13407,181
2022-05-09,Ventura,111,848112,175959,175955,9473,185428,1491
2022-05-09,Yolo,113,214977,37637,37654,3277,40931,316
2022-05-09,Yuba,115,75493,15997,15997,1239,17236,122
2022-05-08,Alameda,001,1643700,268028,265198,14534,279732,1855
2022-05-08,Alpine,003,1148,125,125,1,126,0
2022-05-08,Amador,005,37829,8602,8556,666,9222,86
2022-05-08,Butte,007,227075,33348,33269,6738,40007,421
2022-05-08,Calaveras,009,45235,7369,7353,365,7718,120
2022-05-08,Colusa,011,21464,3462,3459,1076,4535,21
