date,county,fips,tier
2021-06-15,Alameda,001,4
2021-06-15,Alpine,003,4
2021-06-15,Amador,005,4
2021-06-15,Butte,007,3
2021-06-15,Calaveras,009,3
2021-06-15,Colusa,011,3
2021-06-15,Contra Costa,013,3
2021-06-15,Del Norte,015,3
2021-06-15,El Dorado,017,3
2021-06-15,Fresno,019,3
2021-06-15,Glenn,021,4
2021-06-15,Humboldt,023,3
2021-06-15,Imperial,025,3
2021-06-15,Inyo,027,4
2021-06-15,Kern,029,3
2021-06-15,Kings,031,3
2021-06-15,Lake,033,3
2021-06-15,Lassen,035,4
2021-06-15,Los Angeles,037,4
2021-06-15,Madera,039,3
2021-06-15,Marin,041,4
2021-06-15,Mariposa,043,4
2021-06-15,Mendocino,045,4
2021-06-15,Merced,047,3
2021-06-15,Modoc,049,3
2021-06-15,Mono,051,4
2021-06-15,Monterey,053,4
2021-06-15,Napa,055,4
2021-06-15,Nevada,057,3
2021-06-15,Orange,059,4
2021-06-15,Placer,061,3
2021-06-15,Plumas,063,3
2021-06-15,Riverside,065,4
2021-06-15,Sacramento,067,3
2021-06-15,San Benito,069,4
2021-06-15,San Bernardino,071,4
2021-06-15,San Diego,073,4
2021-06-15,San Francisco,075,4
2021-06-15,San Joaquin,077,3
2021-06-15,San Luis Obispo,079,4
2021-06-15,San Mateo,081,4
2021-06-15,Santa Barbara,083,4
2021-06-15,Santa Clara,085,4
2021-06-15,Santa Cruz,087,4
2021-06-15,Shasta,089,3
2021-06-15,Sierra,091,4
2021-06-15,Siskiyou,093,3
2021-06-15,Solano,095,3
2021-06-15,Sonoma,097,3
2021-06-15,Stanislaus,099,3
2021-06-15,Sutter,101,3
2021-06-15,Tehama,103,3
2021-06-15,Trinity,105,4
2021-06-15,Tulare,107,4
2021-06-15,Tuolumne,109,3
2021-06-15,Ventura,111,4
2021-06-15,Yolo,113,4
2021-06-15,Yuba,115,2
2021-06-14,Alameda,001,4
2021-06-14,Alpine,003,4
2021-06-14,Amador,005,4
2021-06-14,Butte,007,3
2021-06-14,Calaveras,009,3
2021-06-14,Colusa,011,3
2021-06-14,Contra Costa,013,3
2021-06-14,Del Norte,015,2
2021-06-14,El Dorado,017,3
2021-06-14,Fresno,019,3
2021-06-14,Glenn,021,3
2021-06-14,Humboldt,023,3
2021-06-14,Imperial,025,3
2021-06-14,Inyo,027,4
2021-06-14,Kern,029,3
2021-06-14,Kings,031,3
2021-06-14,Lake,033,3
2021-06-14,Lassen,035,4
2021-06-14,Los Angeles,037,4
2021-06-14,Madera,039,3
2021-06-14,Marin,041,4
2021-06-14,Mariposa,043,4
2021-06-14,Mendocino,045,4
2021-06-14,Merced,047,3
2021-06-14,Modoc,049,3
2021-06-14,Mono,051,4
2021-06-14,Monterey,053,4
2021-06-14,Napa,055,4
2021-06-14,Nevada,057,3
2021-06-14,Orange,059,4
2021-06-14,Placer,061,3
2021-06-14,Plumas,063,3
2021-06-14,Riverside,065,3
2021-06-14,Sacramento,067,3
2021-06-14,San Benito,069,4
2021-06-14,San Bernardino,071,3
2021-06-14,San Diego,073,4
2021-06-14,San Francisco,075,4
2021-06-14,San Joaquin,077,3
2021-06-14,San Luis Obispo,079,4
2021-06-14,San Mateo,081,4
2021-06-14,Santa Barbara,083,4
2021-06-14,Santa Clara,085,4
2021-06-14,Santa Cruz,087,4
2021-06-14,Shasta,089,2
2021-06-14,Sierra,091,4
2021-06-14,Siskiyou,093,3
2021-06-14,Solano,095,3
2021-06-14,Sonoma,097,3
2021-06-14,Stanislaus,099,3
2021-06-14,Sutter,101,3
2021-06-14,Tehama,103,3
2021-06-14,Trinity,105,4
2021-06-14,Tulare,107,3
2021-06-14,Tuolumne,109,3
2021-06-14,Ventura,111,4
2021-06-14,Yolo,113,3
2021-06-14,Yuba,115,2
2021-06-07,Alameda,001,3
2021-06-07,Alpine,003,4
2021-06-07,Amador,005,4
2021-06-07,Butte,007,3
2021-06-07,Calaveras,009,3
2021-06-07,Colusa,011,3
2021-06-07,Contra Costa,013,3
2021-06-07,Del Norte,015,2
2021-06-07,El Dorado,017,3
2021-06-07,Fresno,019,3
2021-06-07,Glenn,021,3
2021-06-07,Humboldt,023,3
2021-06-07,Imperial,025,3
2021-06-07,Inyo,027,4
2021-06-07,Kern,029,3
2021-06-07,Kings,031,3
2021-06-07,Lake,033,3
2021-06-07,Lassen,035,4
2021-06-07,Los Angeles,037,4
2021-06-07,Madera,039,3
2021-06-07,Marin,041,4
2021-06-07,Mariposa,043,4
2021-06-07,Mendocino,045,4
2021-06-07,Merced,047,3
2021-06-07,Modoc,049,3
2021-06-07,Mono,051,4
2021-06-07,Monterey,053,4
2021-06-07,Napa,055,3
2021-06-07,Nevada,057,3
2021-06-07,Orange,059,4
2021-06-07,Placer,061,3
2021-06-07,Plumas,063,3
2021-06-07,Riverside,065,3
2021-06-07,Sacramento,067,3
2021-06-07,San Benito,069,4
2021-06-07,San Bernardino,071,3
2021-06-07,San Diego,073,3
2021-06-07,San Francisco,075,4
2021-06-07,San Joaquin,077,3
2021-06-07,San Luis Obispo,079,3
2021-06-07,San Mateo,081,4
2021-06-07,Santa Barbara,083,3
2021-06-07,Santa Clara,085,4
2021-06-07,Santa Cruz,087,4
2021-06-07,Shasta,089,2
2021-06-07,Sierra,091,4
2021-06-07,Siskiyou,093,3
2021-06-07,Solano,095,3
2021-06-07,Sonoma,097,3
2021-06-07,Stanislaus,099,2
2021-06-07,Sutter,101,3
2021-06-07,Tehama,103,3
2021-06-07,Trinity,105,4
2021-06-07,Tulare,107,3
2021-06-07,Tuolumne,109,3
2021-06-07,Ventura,111,4
2021-06-07,Yolo,113,3
2021-06-07,Yuba,115,2
2021-05-31,Alameda,001,3
2021-05-31,Alpine,003,4
2021-05-31,Amador,005,4
2021-05-31,Butte,007,3
2021-05-31,Calaveras,009,3
2021-05-31,Colusa,011,3
2021-05-31,Contra Costa,013,3
2021-05-31,Del Norte,015,2
2021-05-31,El Dorado,017,3
2021-05-31,Fresno,019,3
2021-05-31,Glenn,021,3
2021-05-31,Humboldt,023,3
2021-05-31,Imperial,025,3
2021-05-31,Inyo,027,4
2021-05-31,Kern,029,3
2021-05-31,Kings,031,3
2021-05-31,Lake,033,3
2021-05-31,Lassen,035,4
2021-05-31,Los Angeles,037,4
2021-05-31,Madera,039,3
2021-05-31,Marin,041,3
2021-05-31,Mariposa,043,4
2021-05-31,Mendocino,045,4
2021-05-31,Merced,047,3
2021-05-31,Modoc,049,3
2021-05-31,Mono,051,4
2021-05-31,Monterey,053,3
2021-05-31,Napa,055,3
2021-05-31,Nevada,057,2
2021-05-31,Orange,059,4
2021-05-31,Placer,061,3
2021-05-31,Plumas,063,3
2021-05-31,Riverside,065,3
2021-05-31,Sacramento,067,2
2021-05-31,San Benito,069,3
2021-05-31,San Bernardino,071,3
2021-05-31,San Diego,073,3
2021-05-31,San Francisco,075,4
2021-05-31,San Joaquin,077,2
2021-05-31,San Luis Obispo,079,3
2021-05-31,San Mateo,081,4
2021-05-31,Santa Barbara,083,3
2021-05-31,Santa Clara,085,4
2021-05-31,Santa Cruz,087,4
2021-05-31,Shasta,089,2
2021-05-31,Sierra,091,4
2021-05-31,Siskiyou,093,3
2021-05-31,Solano,095,2
2021-05-31,Sonoma,097,3
2021-05-31,Stanislaus,099,2
2021-05-31,Sutter,101,3
2021-05-31,Tehama,103,3
2021-05-31,Trinity,105,4
2021-05-31,Tulare,107,3
2021-05-31,Tuolumne,109,3
2021-05-31,Ventura,111,3
2021-05-31,Yolo,113,3
2021-05-31,Yuba,115,2
2021-05-24,Alameda,001,3
2021-05-24,Alpine,003,4
2021-05-24,Amador,005,4
2021-05-24,Butte,007,3
2021-05-24,Calaveras,009,3
2021-05-24,Colusa,011,3
2021-05-24,Contra Costa,013,3
2021-05-24,Del Norte,015,2
2021-05-24,El Dorado,017,3
2021-05-24,Fresno,019,3
2021-05-24,Glenn,021,3
2021-05-24,Humboldt,023,3
2021-05-24,Imperial,025,3
2021-05-24,Inyo,027,3
2021-05-24,Kern,029,3
2021-05-24,Kings,031,3
2021-05-24,Lake,033,3
2021-05-24,Lassen,035,4
2021-05-24,Los Angeles,037,4
2021-05-24,Madera,039,3
2021-05-24,Marin,041,3
2021-05-24,Mariposa,043,3
2021-05-24,Mendocino,045,4
2021-05-24,Merced,047,2
2021-05-24,Modoc,049,3
2021-05-24,Mono,051,4
2021-05-24,Monterey,053,3
2021-05-24,Napa,055,3
2021-05-24,Nevada,057,2
2021-05-24,Orange,059,4
2021-05-24,Placer,061,2
2021-05-24,Plumas,063,3
2021-05-24,Riverside,065,3
2021-05-24,Sacramento,067,2
2021-05-24,San Benito,069,3
2021-05-24,San Bernardino,071,3
2021-05-24,San Diego,073,3
2021-05-24,San Francisco,075,4
2021-05-24,San Joaquin,077,2
2021-05-24,San Luis Obispo,079,3
2021-05-24,San Mateo,081,4
2021-05-24,Santa Barbara,083,3
2021-05-24,Santa Clara,085,4
2021-05-24,Santa Cruz,087,4
2021-05-24,Shasta,089,2
2021-05-24,Sierra,091,4
2021-05-24,Siskiyou,093,3
2021-05-24,Solano,095,2
2021-05-24,Sonoma,097,3
2021-05-24,Stanislaus,099,2
2021-05-24,Sutter,101,3
2021-05-24,Tehama,103,3
2021-05-24,Trinity,105,4
2021-05-24,Tulare,107,3
2021-05-24,Tuolumne,109,3
2021-05-24,Ventura,111,3
2021-05-24,Yolo,113,3
2021-05-24,Yuba,115,2
2021-05-17,Alameda,001,3
2021-05-17,Alpine,003,4
2021-05-17,Amador,005,3
2021-05-17,Butte,007,3
2021-05-17,Calaveras,009,3
2021-05-17,Colusa,011,3
2021-05-17,Contra Costa,013,3
2021-05-17,Del Norte,015,2
2021-05-17,El Dorado,017,3
2021-05-17,Fresno,019,3
