date,confirmed_cases,reported_cases,probable_cases,reported_and_probable_cases,reported_deaths
2022-02-13,8243657,8244329,571654,8815983,82026
2022-02-12,8243657,8204171,571654,8775825,81437
2022-02-11,8243576,8204171,571654,8775825,81437
2022-02-10,8241089,8204171,571654,8775825,81437
2022-02-09,8232604,8181224,571654,8752878,81074
2022-02-08,8219391,8166393,571654,8738047,80912
2022-02-07,8203408,8127081,571535,8698616,80640
2022-02-06,8182269,8079771,568994,8648765,80539
2022-02-05,8173623,8006410,568301,8574711,80022
2022-02-04,8162559,8006410,567716,8574126,80022
2022-02-03,8141431,8006410,565559,8571969,80022
2022-02-02,8118347,7969398,562728,8532126,79802
2022-02-01,8091865,7941318,559586,8500904,79621
2022-01-31,8060350,7915768,555983,8471751,79382
2022-01-30,8022145,7878621,550907,8429528,79284
2022-01-29,8007615,7706395,549607,8256002,78825
2022-01-28,7987179,7706395,548398,8254793,78825
2022-01-27,7948635,7706395,544310,8250705,78825
2022-01-26,7904546,7629666,539710,8169376,78571
2022-01-25,7852674,7569687,533832,8103519,78316
2022-01-24,7793034,7482469,527059,8009528,78118
2022-01-23,7723877,7419643,517643,7937286,78101
2022-01-22,7696735,7123571,515173,7638744,77722
2022-01-21,7657838,7123571,512611,7636182,77722
2022-01-20,7581782,7123571,505059,7628630,77722
2022-01-19,7492715,6997710,496118,7493828,77521
2022-01-18,7392354,6910991,485456,7396447,77345
2022-01-17,7272979,6812354,471123,7283477,77306
2022-01-16,7192968,6735980,463562,7199542,77270
2022-01-15,7154309,6416171,460045,6876216,76940
2022-01-14,7097027,6416171,456121,6872292,76940
2022-01-13,6993632,6416171,446055,6862226,76940
2022-01-12,6880544,6296907,434466,6731373,76804
2022-01-11,6756107,6188867,422210,6611077,76683
2022-01-10,6623959,6086557,408546,6495103,76564
2022-01-09,6486282,5943177,392026,6335203,76550
2022-01-08,6432701,5634357,384404,6018761,76341
2022-01-07,6358197,5634357,378478,6012835,76341
2022-01-06,6225838,5634357,367136,6001493,76341
2022-01-05,6086213,5530751,355965,5886716,76049
2022-01-04,5935694,5480265,344531,5824796,76054
2022-01-03,5783317,5428522,332743,5761265,75924
2022-01-02,5648426,5191438,319870,5511308,75847
2022-01-01,5594118,5191438,312652,5504090,75847
2021-12-31,5563354,5191438,309125,5500563,75847
2021-12-30,5510470,5191438,303992,5495430,75847
2021-12-29,5426275,5135071,298174,5433245,75738
2021-12-28,5338241,5097398,292834,5390232,75629
2021-12-27,5251432,5076650,287491,5364141,75558
