date,county,fips,population,doses_administered,new_doses_administered,pfizer_doses,new_pfizer_doses,moderna_doses,new_moderna_doses,jj_doses,new_jj_doses,partially_vaccinated,new_partially_vaccinated,at_least_one_dose,new_at_least_one_dose,fully_vaccinated,new_fully_vaccinated,partially_vaccinated_percent,at_least_one_dose_percent,fully_vaccinated_percent
2021-08-20,Alameda,001,1643700.0,2217797,2797,1409879,2100,698036,566,109882,131,105154,1151,1211062,1278,1105908,1178,0.0639739611851311,0.7367901685222364,0.6728162073371053
2021-08-20,Alpine,003,1148.0,1509,0,28,0,1474,0,7,0,139,0,826,0,687,0,0.1210801393728223,0.7195121951219512,0.5984320557491289
2021-08-20,Amador,005,37829.0,36523,87,9774,53,25425,23,1324,11,6145,49,21967,63,15822,36,0.1624415131248513,0.5806920616458273,0.418250548520976
2021-08-20,Butte,007,227075.0,187389,175,90827,97,88951,61,7611,17,12456,79,103249,96,90793,83,0.0548541230870857,0.4546911813277551,0.3998370582406694
2021-08-20,Calaveras,009,45235.0,41082,64,17396,40,22449,13,1237,11,4441,27,23269,38,18828,35,0.0981761910025422,0.5144025643859843,0.416226373383442
2021-08-20,Colusa,011,21464.0,19045,25,5064,15,13216,9,765,1,1652,13,10706,14,9054,10,0.0769660827431979,0.4987886693999254,0.4218225866567275
2021-08-20,Contra Costa,013,1133247.0,1552367,2091,1044659,1645,457053,359,50655,87,63523,837,830157,923,766634,877,0.0560539758763976,0.732547273454066,0.6764932975776684
2021-08-20,Del Norte,015,27424.0,20159,65,7255,30,11770,30,1134,5,1812,42,11474,47,9662,16,0.066073512252042,0.4183926487747958,0.3523191365227538
2021-08-20,El Dorado,017,186661.0,198188,214,95001,143,95512,41,7675,30,12686,102,108755,132,96069,92,0.067962777441458,0.5826337585248124,0.5146709810833543
2021-08-20,Fresno,019,978130.0,934341,1779,501326,1217,399194,434,33821,128,86086,926,526466,1054,440380,759,0.0880107961109464,0.538237248627483,0.4502264525165366
