date,age_group,partially_vaccinated,at_least_one_dose,fully_vaccinated,population_total,population_12_and_up,partially_vaccinated_percent,partially_vaccinated_percent_12_and_up,at_least_one_dose_percent,at_least_one_dose_percent_12_and_up,fully_vaccinated_percent,fully_vaccinated_percent_12_and_up
2022-01-28,12-17,260670.0,2293558.0,2032888.0,3168617,3168617,0.0822661748011829,0.0822661748011829,0.723835667106501,0.723835667106501,0.641569492305318,0.641569492305318
2022-01-27,12-17,261087.0,2291585.0,2030498.0,3168617,3168617,0.0823977779580176,0.0823977779580176,0.7232129979735639,0.7232129979735639,0.6408152200155462,0.6408152200155462
2022-01-26,12-17,261605.0,2289517.0,2027912.0,3168617,3168617,0.0825612562199849,0.0825612562199849,0.722560347306096,0.722560347306096,0.6399990910861111,0.6399990910861111
2022-01-25,12-17,262200.0,2287286.0,2025086.0,3168617,3168617,0.082749035304677,0.082749035304677,0.7218562546372755,0.7218562546372755,0.6391072193325984,0.6391072193325984
2022-01-24,12-17,262553.0,2285144.0,2022591.0,3168617,3168617,0.082860440375091,0.082860440375091,0.7211802499323837,0.7211802499323837,0.6383198095572926,0.6383198095572926
2022-01-23,12-17,262616.0,2282904.0,2020288.0,3168617,3168617,0.0828803228664114,0.0828803228664114,0.7204733169076604,0.7204733169076604,0.6375929940412489,0.6375929940412489
2022-01-22,12-17,262465.0,2281961.0,2019496.0,3168617,3168617,0.0828326680062626,0.0828326680062626,0.7201757107280558,0.7201757107280558,0.6373430427217931,0.6373430427217931
2022-01-21,12-17,261598.0,2279803.0,2018205.0,3168617,3168617,0.0825590470542826,0.0825590470542826,0.7194946565015589,0.7194946565015589,0.6369356094472762,0.6369356094472762
2022-01-20,12-17,260551.0,2276486.0,2015935.0,3168617,3168617,0.0822286189842445,0.0822286189842445,0.7184478275537877,0.7184478275537877,0.6362192085695432,0.6362192085695432
2022-01-19,12-17,260389.0,2273812.0,2013423.0,3168617,3168617,0.0821774925779922,0.0821774925779922,0.717603926255524,0.717603926255524,0.6354264336775318,0.6354264336775318
2022-01-18,12-17,260248.0,2270895.0,2010647.0,3168617,3168617,0.0821329936688466,0.0821329936688466,0.7166833353478821,0.7166833353478821,0.6345503416790353,0.6345503416790353
2022-01-17,12-17,259981.0,2268026.0,2008045.0,3168617,3168617,0.0820487297770604,0.0820487297770604,0.7157778930050556,0.7157778930050556,0.6337291632279951,0.6337291632279951
2022-01-16,12-17,259248.0,2265093.0,2005845.0,3168617,3168617,0.0818173985685237,0.0818173985685237,0.7148522525758083,0.7148522525758083,0.6330348540072845,0.6330348540072845
2022-01-15,12-17,258856.0,2263980.0,2005124.0,3168617,3168617,0.0816936852891971,0.0816936852891971,0.7145009952291489,0.7145009952291489,0.6328073099399517,0.6328073099399517
2022-01-14,12-17,257611.0,2261327.0,2003716.0,3168617,3168617,0.081300769389295,0.081300769389295,0.7136637214279921,0.7136637214279921,0.632362952038697,0.632362952038697
2022-01-13,12-17,255650.0,2257101.0,2001451.0,3168617,3168617,0.0806818873975617,0.0806818873975617,0.7123300165340273,0.7123300165340273,0.6316481291364655,0.6316481291364655
2022-01-12,12-17,254692.0,2253654.0,1998962.0,3168617,3168617,0.0803795472914523,0.0803795472914523,0.7112421602232141,0.7112421602232141,0.6308626129317617,0.6308626129317617
2022-01-11,12-17,254034.0,2250125.0,1996091.0,3168617,3168617,0.0801718857154398,0.0801718857154398,0.7101284251141744,0.7101284251141744,0.6299565393987345,0.6299565393987345
2022-01-10,12-17,253471.0,2246674.0,1993203.0,3168617,3168617,0.079994205673958,0.079994205673958,0.7090393064229599,0.7090393064229599,0.6290451007490019,0.6290451007490019
2022-01-09,12-17,252969.0,2243373.0,1990404.0,3168617,3168617,0.0798357769335959,0.0798357769335959,0.7079975269967939,0.7079975269967939,0.628161750063198,0.628161750063198
2022-01-08,12-17,252633.0,2242099.0,1989466.0,3168617,3168617,0.0797297369798874,0.0797297369798874,0.7075954588389824,0.7075954588389824,0.627865721859095,0.627865721859095
2022-01-07,12-17,251982.0,2238926.0,1986944.0,3168617,3168617,0.0795242845695772,0.0795242845695772,0.7065940755856577,0.7065940755856577,0.6270697910160805,0.6270697910160805
2022-01-06,12-17,251217.0,2234269.0,1983052.0,3168617,3168617,0.0792828543178301,0.0792828543178301,0.7051243492034538,0.7051243492034538,0.6258414948856236,0.6258414948856236
2022-01-05,12-17,250210.0,2230146.0,1979936.0,3168617,3168617,0.0789650500518049,0.0789650500518049,0.7038231506048223,0.7038231506048223,0.6248581005530173,0.6248581005530173
2022-01-04,12-17,249368.0,2226327.0,1976959.0,3168617,3168617,0.078699318977333,0.078699318977333,0.7026178929166889,0.7026178929166889,0.6239185739393559,0.6239185739393559
2022-01-03,12-17,248861.0,2222810.0,1973949.0,3168617,3168617,0.0785393122614692,0.0785393122614692,0.701507944948853,0.701507944948853,0.6229686326873838,0.6229686326873838
2022-01-02,12-17,248584.0,2219546.0,1970962.0,3168617,3168617,0.0784518924186798,0.0784518924186798,0.700477842541399,0.700477842541399,0.6220259501227191,0.6220259501227191
