date,doses_administered,new_doses_administered,pfizer_doses,new_pfizer_doses,moderna_doses,new_moderna_doses,jj_doses,new_jj_doses,partially_vaccinated,new_partially_vaccinated,at_least_one_dose,new_at_least_one_dose,fully_vaccinated,new_fully_vaccinated,partially_vaccinated_percent,at_least_one_dose_percent,fully_vaccinated_percent
2020-07-27,3,3,2.0,2.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,7.663077570626627e-08,7.663077570626627e-08,0.0
2020-07-28,7,4,3.0,1.0,4.0,3.0,0.0,0.0,6.0,3.0,7.0,4.0,1.0,1.0,1.5326155141253257e-07,1.788051433146213e-07,2.5543591902088758e-08
2020-07-29,14,7,3.0,0.0,11.0,7.0,0.0,0.0,13.0,7.0,14.0,7.0,1.0,0.0,3.320666947271538e-07,3.576102866292426e-07,2.5543591902088758e-08
2020-07-30,24,10,8.0,5.0,16.0,5.0,0.0,0.0,22.0,9.0,24.0,10.0,2.0,1.0,5.619590218459526e-07,6.130462056501302e-07,5.1087183804177515e-08
2020-07-31,29,5,11.0,3.0,18.0,2.0,0.0,0.0,27.0,5.0,29.0,5.0,2.0,0.0,6.896769813563964e-07,7.407641651605739e-07,5.1087183804177515e-08
2020-08-01,39,10,15.0,4.0,24.0,6.0,0.0,0.0,36.0,9.0,39.0,10.0,3.0,1.0,9.195693084751952e-07,9.962000841814615e-07,7.663077570626627e-08
2020-08-02,42,3,16.0,1.0,26.0,2.0,0.0,0.0,38.0,2.0,42.0,3.0,4.0,1.0,9.706564922793729e-07,1.0728308598877275e-06,1.0217436760835503e-07
2020-08-03,54,12,16.0,0.0,38.0,12.0,0.0,0.0,49.0,11.0,54.0,12.0,5.0,1.0,1.251636003202349e-06,1.3793539627127928e-06,1.277179595104438e-07
2020-08-04,68,14,21.0,5.0,47.0,9.0,0.0,0.0,63.0,14.0,68.0,14.0,5.0,0.0,1.6092462898315916e-06,1.7369642493420354e-06,1.277179595104438e-07
2020-08-05,84,16,25.0,4.0,59.0,12.0,0.0,0.0,79.0,16.0,84.0,16.0,5.0,0.0,2.017943760265012e-06,2.1456617197754555e-06,1.277179595104438e-07
2020-08-06,99,15,30.0,5.0,69.0,10.0,0.0,0.0,94.0,15.0,99.0,15.0,5.0,0.0,2.401097638796343e-06,2.5288155983067867e-06,1.277179595104438e-07
2020-08-07,106,7,33.0,3.0,73.0,4.0,0.0,0.0,101.0,7.0,106.0,7.0,5.0,0.0,2.5799027821109645e-06,2.707620741621408e-06,1.277179595104438e-07
2020-08-08,110,4,36.0,3.0,74.0,1.0,0.0,0.0,105.0,4.0,110.0,4.0,5.0,0.0,2.682077149719319e-06,2.8097951092297637e-06,1.277179595104438e-07
2020-08-09,113,3,37.0,1.0,76.0,2.0,0.0,0.0,108.0,3.0,113.0,3.0,5.0,0.0,2.7587079254255856e-06,2.8864258849360293e-06,1.277179595104438e-07
2020-08-10,139,26,51.0,14.0,88.0,12.0,0.0,0.0,134.0,26.0,139.0,26.0,5.0,0.0,3.4228413148798934e-06,3.550559274390337e-06,1.277179595104438e-07
2020-08-11,164,25,62.0,11.0,102.0,14.0,0.0,0.0,159.0,25.0,164.0,25.0,5.0,0.0,4.061431112432112e-06,4.189149071942556e-06,1.277179595104438e-07
2020-08-12,192,28,80.0,18.0,112.0,10.0,0.0,0.0,187.0,28.0,192.0,28.0,5.0,0.0,4.776651685690597e-06,4.9043696452010415e-06,1.277179595104438e-07
2020-08-13,223,31,96.0,16.0,127.0,15.0,0.0,0.0,218.0,31.0,223.0,31.0,5.0,0.0,5.5685030346553485e-06,5.696220994165793e-06,1.277179595104438e-07
2020-08-14,247,24,104.0,8.0,143.0,16.0,0.0,0.0,242.0,24.0,247.0,24.0,5.0,0.0,6.181549240305479e-06,6.309267199815922e-06,1.277179595104438e-07
2020-08-15,249,2,105.0,1.0,144.0,1.0,0.0,0.0,244.0,2.0,249.0,2.0,5.0,0.0,6.232636424109656e-06,6.3603543836201005e-06,1.277179595104438e-07
2020-08-16,253,4,109.0,4.0,144.0,0.0,0.0,0.0,248.0,4.0,253.0,4.0,5.0,0.0,6.334810791718012e-06,6.462528751228455e-06,1.277179595104438e-07
2020-08-17,285,32,126.0,17.0,159.0,15.0,0.0,0.0,280.0,32.0,285.0,32.0,5.0,0.0,7.152205732584852e-06,7.279923692095296e-06,1.277179595104438e-07
2020-08-18,307,22,138.0,12.0,169.0,10.0,0.0,0.0,302.0,22.0,307.0,22.0,5.0,0.0,7.714164754430804e-06,7.841882713941248e-06,1.277179595104438e-07
2020-08-19,334,27,155.0,17.0,179.0,10.0,0.0,0.0,327.0,26.0,333.0,26.0,6.0,1.0,8.352754551983023e-06,8.506016103395555e-06,1.5326155141253257e-07
2020-08-20,371,37,181.0,26.0,190.0,11.0,0.0,0.0,363.0,36.0,370.0,37.0,7.0,1.0,9.272323860458218e-06,9.45112900377284e-06,1.788051433146213e-07
2020-08-21,414,43,205.0,24.0,209.0,19.0,0.0,0.0,402.0,40.0,410.0,40.0,8.0,1.0,1.026852394463968e-05,1.047287267985639e-05,2.0434873521671006e-07
2020-08-22,428,14,214.0,9.0,214.0,5.0,0.0,0.0,416.0,14.0,424.0,14.0,8.0,0.0,1.0626134231268922e-05,1.0830482966485631e-05,2.0434873521671006e-07
2020-08-23,432,4,216.0,2.0,216.0,2.0,0.0,0.0,416.0,2.0,426.0,2.0,10.0,2.0,1.0626134231268922e-05,1.088157015028981e-05,2.554359190208876e-07
2020-08-24,468,36,235.0,19.0,233.0,17.0,0.0,0.0,446.0,33.0,459.0,33.0,13.0,3.0,1.1392441988331584e-05,1.172450868305874e-05,3.320666947271538e-07
2020-08-25,510,42,266.0,31.0,244.0,11.0,0.0,0.0,482.0,39.0,498.0,39.0,16.0,3.0,1.231201129680678e-05,1.27207087672402e-05,4.086974704334201e-07
2020-08-26,568,58,301.0,35.0,267.0,23.0,0.0,0.0,522.0,49.0,547.0,49.0,25.0,9.0,1.333375497289033e-05,1.397234477044255e-05,6.385897975522188e-07
2020-08-27,620,52,339.0,38.0,281.0,14.0,0.0,0.0,558.0,43.0,592.0,45.0,34.0,9.0,1.4253324281365526e-05,1.5121806406036544e-05,8.684821246710177e-07
2020-08-28,679,59,374.0,35.0,305.0,24.0,0.0,0.0,595.0,48.0,640.0,48.0,45.0,11.0,1.5198437181742807e-05,1.6347898817336803e-05,1.149461635593994e-06
2020-08-29,690,11,378.0,4.0,312.0,7.0,0.0,0.0,604.0,10.0,650.0,10.0,46.0,1.0,1.5428329508861608e-05,1.660333473635769e-05,1.1750052274960828e-06
2020-08-30,694,4,382.0,4.0,312.0,0.0,0.0,0.0,608.0,4.0,654.0,4.0,46.0,0.0,1.5530503876469963e-05,1.6705509103966046e-05,1.1750052274960828e-06
2020-08-31,769,75,432.0,50.0,337.0,25.0,0.0,0.0,645.0,56.0,710.0,56.0,65.0,19.0,1.6475616776847247e-05,1.8135950250483015e-05,1.6603334736357692e-06
2020-09-01,865,96,497.0,65.0,368.0,31.0,0.0,0.0,679.0,65.0,775.0,65.0,96.0,31.0,1.7344098901518264e-05,1.9796283724118782e-05,2.4521848226005207e-06
2020-09-02,924,59,546.0,49.0,378.0,10.0,0.0,0.0,701.0,40.0,815.0,40.0,114.0,18.0,1.790605792336422e-05,2.0818027400202336e-05,2.911969476838118e-06
2020-09-03,986,62,587.0,41.0,399.0,21.0,0.0,0.0,743.0,52.0,867.0,52.0,124.0,10.0,1.8978888783251945e-05,2.214629417911095e-05,3.167405395859006e-06
