date,id,county,fips,population,partially_vaccinated,at_least_one_dose,fully_vaccinated,partially_vaccinated_percent,at_least_one_dose_percent,fully_vaccinated_percent
2021-01-05,90004,Los Angeles,037,61586.0,894,907,13,0.01,0.01,0.0
2021-01-05,90015,Los Angeles,037,21801.0,382,394,12,0.02,0.02,0.0
2021-01-05,90019,Los Angeles,037,66245.0,867,878,11,0.01,0.01,0.0
2021-01-05,90026,Los Angeles,037,69589.0,1171,1183,12,0.02,0.02,0.0
2021-01-05,90027,Los Angeles,037,44686.0,1726,1748,22,0.04,0.04,0.0
2021-01-05,90033,Los Angeles,037,47583.0,923,946,23,0.02,0.02,0.0
2021-01-05,90049,Los Angeles,037,36964.0,1247,1274,27,0.03,0.03,0.0
2021-01-05,90064,Los Angeles,037,25429.0,759,770,11,0.03,0.03,0.0
2021-01-05,90254,Los Angeles,037,19650.0,441,454,13,0.02,0.02,0.0
2021-01-05,90266,Los Angeles,037,35573.0,824,845,21,0.02,0.02,0.0
2021-01-05,90274,Los Angeles,037,25279.0,764,778,14,0.03,0.03,0.0
2021-01-05,90275,Los Angeles,037,42421.0,1174,1185,11,0.03,0.03,0.0
2021-01-05,90292,Los Angeles,037,22490.0,487,498,11,0.02,0.02,0.0
2021-01-05,90405,Los Angeles,037,28115.0,547,558,11,0.02,0.02,0.0
2021-01-05,90638,Los Angeles,037,49383.0,976,991,15,0.02,0.02,0.0
2021-01-05,90650,Los Angeles,037,105886.0,1918,1931,13,0.02,0.02,0.0
2021-01-05,90703,Los Angeles,037,50963.0,1689,1703,14,0.03,0.03,0.0
2021-01-05,90745,Los Angeles,037,56821.0,1802,1817,15,0.03,0.03,0.0
2021-01-05,90803,Los Angeles,037,32389.0,744,757,13,0.02,0.02,0.0
2021-01-05,91010,Los Angeles,037,26601.0,706,717,11,0.03,0.03,0.0
2021-01-05,91011,Los Angeles,037,20423.0,855,872,17,0.04,0.04,0.0
2021-01-05,91030,Los Angeles,037,25794.0,871,888,17,0.03,0.03,0.0
2021-01-05,91107,Los Angeles,037,32364.0,942,959,17,0.03,0.03,0.0
2021-01-05,91214,Los Angeles,037,30654.0,740,753,13,0.02,0.02,0.0
2021-01-05,91321,Los Angeles,037,34355.0,514,526,12,0.01,0.02,0.0
2021-01-05,91326,Los Angeles,037,37035.0,1044,1058,14,0.03,0.03,0.0
2021-01-05,91335,Los Angeles,037,80524.0,1645,1658,13,0.02,0.02,0.0
2021-01-05,91342,Los Angeles,037,96487.0,1709,1726,17,0.02,0.02,0.0
2021-01-05,91350,Los Angeles,037,37350.0,1097,1129,32,0.03,0.03,0.0
2021-01-05,91351,Los Angeles,037,32572.0,602,621,19,0.02,0.02,0.0
2021-01-05,91354,Los Angeles,037,32096.0,881,906,25,0.03,0.03,0.0
2021-01-05,91355,Los Angeles,037,31455.0,679,708,29,0.02,0.02,0.0
2021-01-05,91356,Los Angeles,037,30804.0,704,715,11,0.02,0.02,0.0
2021-01-05,91381,Los Angeles,037,20371.0,570,586,16,0.03,0.03,0.0
2021-01-05,91384,Los Angeles,037,28842.0,441,452,11,0.02,0.02,0.0
2021-01-05,91387,Los Angeles,037,43717.0,921,945,24,0.02,0.02,0.0
2021-01-05,91403,Los Angeles,037,25218.0,528,539,11,0.02,0.02,0.0
2021-01-05,91504,Los Angeles,037,26863.0,414,425,11,0.02,0.02,0.0
2021-01-05,91505,Los Angeles,037,30680.0,526,537,11,0.02,0.02,0.0
2021-01-05,91602,Los Angeles,037,19358.0,280,293,13,0.01,0.02,0.0
2021-01-05,91702,Los Angeles,037,62348.0,940,954,14,0.02,0.02,0.0
2021-01-05,91706,Los Angeles,037,77342.0,1128,1142,14,0.01,0.01,0.0
2021-01-05,91709,San Bernardino,071,79298.0,1845,1859,14,0.02,0.02,0.0
2021-01-05,91724,Los Angeles,037,26091.0,511,526,15,0.02,0.02,0.0
2021-01-05,91741,Los Angeles,037,26565.0,640,661,21,0.02,0.02,0.0
2021-01-05,91765,Los Angeles,037,47139.0,989,1000,11,0.02,0.02,0.0
2021-01-05,91773,Los Angeles,037,34496.0,772,783,11,0.02,0.02,0.0
2021-01-05,91789,Los Angeles,037,44474.0,1043,1054,11,0.02,0.02,0.0
