date,county,fips,recoveries_estimated,active_cases
2022-01-16,Alameda,001,135887,60110
2022-01-16,Alpine,003,112,6
2022-01-16,Amador,005,5920,742
2022-01-16,Butte,007,26388,4098
2022-01-16,Calaveras,009,4640,927
2022-01-16,Colusa,011,3398,291
2022-01-16,Contra Costa,013,111357,38934
2022-01-16,Del Norte,015,3840,375
2022-01-16,El Dorado,017,19445,3935
2022-01-16,Fresno,019,160292,25966
2022-01-16,Glenn,021,4692,491
2022-01-16,Humboldt,023,11172,3132
2022-01-16,Imperial,025,41475,7275
2022-01-16,Inyo,027,2722,902
2022-01-16,Kern,029,160627,21507
2022-01-16,Kings,031,36135,4736
2022-01-16,Lake,033,7149,880
2022-01-16,Lassen,035,7466,365
2022-01-16,Los Angeles,037,1636907,589414
2022-01-16,Madera,039,27070,3713
2022-01-16,Marin,041,21125,6194
2022-01-16,Mariposa,043,1562,351
2022-01-16,Mendocino,045,9036,1869
2022-01-16,Merced,047,46228,6883
2022-01-16,Modoc,049,802,40
2022-01-16,Mono,051,2124,571
2022-01-16,Monterey,053,55749,8581
2022-01-16,Napa,055,14513,5174
2022-01-16,Nevada,057,10582,2129
2022-01-16,Orange,059,353881,116798
2022-01-16,Placer,061,44681,9649
2022-01-16,Plumas,063,2044,241
2022-01-16,Riverside,065,408492,89472
2022-01-16,Sacramento,067,177170,49895
2022-01-16,San Benito,069,8463,2127
2022-01-16,San Bernardino,071,392143,90233
2022-01-16,San Diego,073,448060,151383
2022-01-16,San Francisco,075,68066,31988
2022-01-16,San Joaquin,077,110787,26232
2022-01-16,San Luis Obispo,079,33510,8378
2022-01-16,San Mateo,081,64676,27271
2022-01-16,Santa Barbara,083,50769,17085
2022-01-16,Santa Clara,085,164879,72280
2022-01-16,Santa Cruz,087,24024,8614
2022-01-16,Shasta,089,26585,2081
2022-01-16,Sierra,091,225,38
2022-01-16,Siskiyou,093,4903,476
2022-01-16,Solano,095,50084,12672
2022-01-16,Sonoma,097,46267,16052
2022-01-16,Stanislaus,099,92737,12658
2022-01-16,Sutter,101,15007,2388
2022-01-16,Tehama,103,10455,1094
2022-01-16,Trinity,105,1019,74
2022-01-16,Tulare,107,88963,10439
2022-01-16,Tuolumne,109,8060,1380
2022-01-16,Ventura,111,111581,33573
2022-01-16,Yolo,113,23161,6982
2022-01-16,Yuba,115,11136,2044
2022-01-15,Alameda,001,135675,47420
2022-01-15,Alpine,003,112,5
2022-01-15,Amador,005,5922,560
2022-01-15,Butte,007,26371,3013
2022-01-15,Calaveras,009,4641,649
2022-01-15,Colusa,011,3389,211
2022-01-15,Contra Costa,013,111275,30354
2022-01-15,Del Norte,015,3841,263
2022-01-15,El Dorado,017,19430,3079
2022-01-15,Fresno,019,160277,18534
2022-01-15,Glenn,021,4691,348
2022-01-15,Humboldt,023,11156,2485
2022-01-15,Imperial,025,41435,5790
2022-01-15,Inyo,027,2717,699
2022-01-15,Kern,029,160557,15032
2022-01-15,Kings,031,36115,3114
2022-01-15,Lake,033,7143,703
2022-01-15,Lassen,035,7461,253
2022-01-15,Los Angeles,037,1635697,464358
2022-01-15,Madera,039,27064,2705
2022-01-15,Marin,041,21092,5192
2022-01-15,Mariposa,043,1562,262
2022-01-15,Mendocino,045,9027,1418
2022-01-15,Merced,047,46222,4913
2022-01-15,Modoc,049,802,39
2022-01-15,Mono,051,2120,469
2022-01-15,Monterey,053,55563,7066
2022-01-15,Napa,055,14509,3304
2022-01-15,Nevada,057,10576,1600
2022-01-15,Orange,059,353539,98340
2022-01-15,Placer,061,44646,7404
2022-01-15,Plumas,063,2043,196
2022-01-15,Riverside,065,408486,70713
2022-01-15,Sacramento,067,177001,39423
2022-01-15,San Benito,069,8462,1620
2022-01-15,San Bernardino,071,392063,70328
2022-01-15,San Diego,073,447618,142032
2022-01-15,San Francisco,075,67829,26108
2022-01-15,San Joaquin,077,110762,19192
2022-01-15,San Luis Obispo,079,33510,6505
2022-01-15,San Mateo,081,64343,22138
2022-01-15,Santa Barbara,083,50757,13308
2022-01-15,Santa Clara,085,164768,57120
2022-01-15,Santa Cruz,087,24011,6570
2022-01-15,Shasta,089,26575,1599
2022-01-15,Sierra,091,225,32
2022-01-15,Siskiyou,093,4898,394
2022-01-15,Solano,095,50045,9883
2022-01-15,Sonoma,097,46244,12410
2022-01-15,Stanislaus,099,92716,9311
2022-01-15,Sutter,101,15004,1741
2022-01-15,Tehama,103,10446,810
2022-01-15,Trinity,105,1019,57
2022-01-15,Tulare,107,88897,7426
2022-01-15,Tuolumne,109,8058,1056
2022-01-15,Ventura,111,111543,27642
2022-01-15,Yolo,113,23123,5849
2022-01-15,Yuba,115,11135,1491
2022-01-14,Alameda,001,135640,47455
2022-01-14,Alpine,003,112,5
2022-01-14,Amador,005,5920,564
2022-01-14,Butte,007,26350,3038
2022-01-14,Calaveras,009,4641,649
2022-01-14,Colusa,011,3383,217
2022-01-14,Contra Costa,013,111281,30367
2022-01-14,Del Norte,015,3840,265
2022-01-14,El Dorado,017,19418,3094
2022-01-14,Fresno,019,160281,18541
2022-01-14,Glenn,021,4693,348
2022-01-14,Humboldt,023,11141,2500
2022-01-14,Imperial,025,41431,5795
2022-01-14,Inyo,027,2717,699
2022-01-14,Kern,029,160517,15081
2022-01-14,Kings,031,36109,3119
2022-01-14,Lake,033,7137,708
2022-01-14,Lassen,035,7461,253
2022-01-14,Los Angeles,037,1635325,464854
2022-01-14,Madera,039,27051,2720
2022-01-14,Marin,041,21065,5221
2022-01-14,Mariposa,043,1561,263
2022-01-14,Mendocino,045,9024,1422
2022-01-14,Merced,047,46206,4927
2022-01-14,Modoc,049,800,41
2022-01-14,Mono,051,2121,469
2022-01-14,Monterey,053,55505,7135
2022-01-14,Napa,055,14506,3306
2022-01-14,Nevada,057,10568,1607
2022-01-14,Orange,059,353298,98584
2022-01-14,Placer,061,44598,7439
2022-01-14,Plumas,063,2043,196
2022-01-14,Riverside,065,408467,70730
2022-01-14,Sacramento,067,176954,39484
2022-01-14,San Benito,069,8462,1620
2022-01-14,San Bernardino,071,391965,70430
2022-01-14,San Diego,073,447316,142314
2022-01-14,San Francisco,075,67760,26179
2022-01-14,San Joaquin,077,110725,19232
2022-01-14,San Luis Obispo,079,33497,6516
2022-01-14,San Mateo,081,64224,22235
2022-01-14,Santa Barbara,083,50756,13319
2022-01-14,Santa Clara,085,164672,57214
2022-01-14,Santa Cruz,087,24000,6585
2022-01-14,Shasta,089,26568,1617
2022-01-14,Sierra,091,225,32
2022-01-14,Siskiyou,093,4888,404
2022-01-14,Solano,095,50032,9896
2022-01-14,Sonoma,097,46234,12424
2022-01-14,Stanislaus,099,92683,9339
2022-01-14,Sutter,101,14996,1749
2022-01-14,Tehama,103,10433,819
2022-01-14,Trinity,105,1019,57
2022-01-14,Tulare,107,88813,7504
2022-01-14,Tuolumne,109,8056,1057
2022-01-14,Ventura,111,111518,27672
2022-01-14,Yolo,113,23102,5871
2022-01-14,Yuba,115,11141,1495
2022-01-13,Alameda,001,135533,47566
2022-01-13,Alpine,003,112,5
2022-01-13,Amador,005,5918,565
2022-01-13,Butte,007,26329,3059
2022-01-13,Calaveras,009,4642,649
2022-01-13,Colusa,011,3380,219
2022-01-13,Contra Costa,013,111211,30433
2022-01-13,Del Norte,015,3838,266
2022-01-13,El Dorado,017,19402,3110
2022-01-13,Fresno,019,160278,18567
2022-01-13,Glenn,021,4691,350
2022-01-13,Humboldt,023,11130,2512
2022-01-13,Imperial,025,41389,5835
2022-01-13,Inyo,027,2715,700
2022-01-13,Kern,029,160414,15191
2022-01-13,Kings,031,36103,3130
2022-01-13,Lake,033,7136,710
2022-01-13,Lassen,035,7462,253
2022-01-13,Los Angeles,037,1634440,465881
2022-01-13,Madera,039,27030,2737
2022-01-13,Marin,041,21042,5244
2022-01-13,Mariposa,043,1560,264
2022-01-13,Mendocino,045,9025,1432
2022-01-13,Merced,047,46198,4941
2022-01-13,Modoc,049,800,41
2022-01-13,Mono,051,2120,470
2022-01-13,Monterey,053,55286,7352
2022-01-13,Napa,055,14494,3313
2022-01-13,Nevada,057,10571,1614
2022-01-13,Orange,059,352948,98980
2022-01-13,Placer,061,44579,7467
2022-01-13,Plumas,063,2041,197
2022-01-13,Riverside,065,408450,70763
2022-01-13,Sacramento,067,176861,39588
2022-01-13,San Benito,069,8456,1626
2022-01-13,San Bernardino,071,391894,70492
2022-01-13,San Diego,073,446858,142818
2022-01-13,San Francisco,075,67591,26356
2022-01-13,San Joaquin,077,110712,19265
2022-01-13,San Luis Obispo,079,33485,6529
2022-01-13,San Mateo,081,63911,22546
2022-01-13,Santa Barbara,083,50747,13337
2022-01-13,Santa Clara,085,164624,57289
2022-01-13,Santa Cruz,087,23971,6610
2022-01-13,Shasta,089,26568,1621
2022-01-13,Sierra,091,225,32
2022-01-13,Siskiyou,093,4886,407
2022-01-13,Solano,095,50003,9937
2022-01-13,Sonoma,097,46236,12429
2022-01-13,Stanislaus,099,92654,9376
2022-01-13,Sutter,101,14995,1750
2022-01-13,Tehama,103,10426,825
2022-01-13,Trinity,105,1019,57
2022-01-13,Tulare,107,88745,7579
2022-01-13,Tuolumne,109,8053,1059
2022-01-13,Ventura,111,111496,27722
2022-01-13,Yolo,113,23084,5892
2022-01-13,Yuba,115,11152,1496
2022-01-12,Alameda,001,133524,44823
2022-01-12,Alpine,003,112,5
2022-01-12,Amador,005,5907,496
2022-01-12,Butte,007,26163,2813
2022-01-12,Calaveras,009,4620,566
2022-01-12,Colusa,011,3374,202
2022-01-12,Contra Costa,013,109707,28881
2022-01-12,Del Norte,015,3822,236
2022-01-12,El Dorado,017,19253,2916
2022-01-12,Fresno,019,159626,17193
2022-01-12,Glenn,021,4677,315
2022-01-12,Humboldt,023,10982,2329
2022-01-12,Imperial,025,41130,5581
2022-01-12,Inyo,027,2692,662
2022-01-12,Kern,029,159757,14207
2022-01-12,Kings,031,36001,2794
2022-01-12,Lake,033,7120,621
2022-01-12,Lassen,035,7456,208
2022-01-12,Los Angeles,037,1613518,444049
2022-01-12,Madera,039,26943,2483
2022-01-12,Marin,041,20581,5166
2022-01-12,Mariposa,043,1558,229
2022-01-12,Mendocino,045,8986,1317
2022-01-12,Merced,047,45975,4711
2022-01-12,Modoc,049,799,41
2022-01-12,Mono,051,2075,473
2022-01-12,Monterey,053,54913,6931
2022-01-12,Napa,055,14290,3221
2022-01-12,Nevada,057,10543,1420
2022-01-12,Orange,059,347619,96981
2022-01-12,Placer,061,44211,7059
2022-01-12,Plumas,063,2036,178
2022-01-12,Riverside,065,404262,67478
2022-01-12,Sacramento,067,175346,37671
2022-01-12,San Benito,069,8371,1579
2022-01-12,San Bernardino,071,388431,67460
2022-01-12,San Diego,073,440258,141746
2022-01-12,San Francisco,075,66086,25561
2022-01-12,San Joaquin,077,110086,17609
2022-01-12,San Luis Obispo,079,33035,6475
2022-01-12,San Mateo,081,62554,21894
2022-01-12,Santa Barbara,083,50184,12410
2022-01-12,Santa Clara,085,161995,54130
2022-01-12,Santa Cruz,087,23638,5991
2022-01-12,Shasta,089,26488,1550
2022-01-12,Sierra,091,225,28
2022-01-12,Siskiyou,093,4874,398
2022-01-12,Solano,095,49575,9358
2022-01-12,Sonoma,097,45648,11222
2022-01-12,Stanislaus,099,92356,8449
2022-01-12,Sutter,101,14941,1594
2022-01-12,Tehama,103,10383,773
2022-01-12,Trinity,105,1019,53
2022-01-12,Tulare,107,88456,7058
2022-01-12,Tuolumne,109,8015,920
2022-01-12,Ventura,111,110449,26238
2022-01-12,Yolo,113,22874,5677
2022-01-12,Yuba,115,11107,1351
2022-01-11,Alameda,001,132270,42314
2022-01-11,Alpine,003,112,4
2022-01-11,Amador,005,5899,467
2022-01-11,Butte,007,26080,2746
2022-01-11,Calaveras,009,4614,504
2022-01-11,Colusa,011,3366,202
2022-01-11,Contra Costa,013,108646,27783
2022-01-11,Del Norte,015,3810,234
2022-01-11,El Dorado,017,19173,2745
2022-01-11,Fresno,019,159268,15773
2022-01-11,Glenn,021,4661,316
2022-01-11,Humboldt,023,10918,2283
2022-01-11,Imperial,025,40840,5333
2022-01-11,Inyo,027,2663,635
2022-01-11,Kern,029,159286,13197
2022-01-11,Kings,031,35943,2599
2022-01-11,Lake,033,7113,588
2022-01-11,Lassen,035,7453,197
2022-01-11,Los Angeles,037,1598035,421092
2022-01-11,Madera,039,26867,2294
2022-01-11,Marin,041,20281,5156
2022-01-11,Mariposa,043,1549,231
2022-01-11,Mendocino,045,8960,1267
2022-01-11,Merced,047,45848,4463
2022-01-11,Modoc,049,797,42
2022-01-11,Mono,051,2063,444
2022-01-11,Monterey,053,54601,6635
2022-01-11,Napa,055,14161,3026
2022-01-11,Nevada,057,10521,1361
2022-01-11,Orange,059,343867,92709
2022-01-11,Placer,061,44015,6708
2022-01-11,Plumas,063,2035,143
2022-01-11,Riverside,065,401554,65108
2022-01-11,Sacramento,067,174393,35001
