date,county,fips,place,confirmed_cases,note,x,y
2020-04-05,Ventura,111,Camarillo,30,,-119.03636000000002,34.218076
2020-04-05,Ventura,111,Lake Sherwood,2,,-118.8698751,34.1435313
2020-04-05,Ventura,111,Moorpark,14,,-118.881099,34.280189
2020-04-05,Ventura,111,Newbury Park,5,,-118.90708870000002,34.1805403
2020-04-05,Ventura,111,Oak Park,9,,-118.759551,34.174226000000004
2020-04-05,Ventura,111,Oak View,1,,-118.9792119,34.17324050000001
2020-04-05,Ventura,111,Ojai,4,,-119.246813,34.447717
2020-04-05,Ventura,111,Oxnard,40,,-119.177708,34.196119
2020-04-05,Ventura,111,Piru,1,,-118.7939824,34.41527429999999
2020-04-05,Ventura,111,Port Hueneme,2,,-119.2212506,34.159361700000005
2020-04-05,Ventura,111,Santa Paula,3,,-119.061497,34.353092
2020-04-05,Ventura,111,Santa Rosa Valley,1,,-118.9343834,34.234796200000005
2020-04-05,Ventura,111,Simi Valley,46,,-118.75041,34.271008
2020-04-05,Ventura,111,Somis,1,,-118.994592,34.263681
2020-04-05,Ventura,111,Thousand Oaks,33,,-118.839304,34.172478000000005
2020-04-05,Ventura,111,Ventura,21,,-119.293754,34.282366
2020-04-05,Ventura,111,Westlake,8,,-118.8244299,34.135588899999995
2020-04-04,Los Angeles,037,Acton,1,Between 1 and 4,-118.21613842625385,34.48136552771796
2020-04-04,Los Angeles,037,Adams-Normandie,11,,-118.30239651488264,34.02912239534046
2020-04-04,Los Angeles,037,Agoura Hills,17,,-118.76087558876593,34.1510066969324
2020-04-04,Los Angeles,037,Alhambra,19,,-118.13550422303965,34.083960697817304
2020-04-04,Los Angeles,037,Alsace,1,Between 1 and 4,-118.36234890708016,34.02957123150454
2020-04-04,Los Angeles,037,Altadena,18,,-118.13567501574148,34.19348231279925
2020-04-04,Los Angeles,037,Arcadia,13,,-118.01706673892349,34.10806901237768
2020-04-04,Los Angeles,037,Arleta,13,,-118.43177451181202,34.2414781604066
2020-04-04,Los Angeles,037,Artesia,1,Between 1 and 4,-118.0806301751097,33.86757701057985
2020-04-04,Los Angeles,037,Athens Village,1,Between 1 and 4,-118.27369696055081,33.9197831086381
2020-04-04,Los Angeles,037,Athens-Westmont,22,,-118.30248324365013,33.934032523047065
2020-04-04,Los Angeles,037,Atwater Village,1,Between 1 and 4,-118.25830762387186,34.11942068206217
2020-04-04,Los Angeles,037,Azusa,8,,-117.8971482977584,34.12323089040892
2020-04-04,Los Angeles,037,Azusa,1,Between 1 and 4,-117.8971482977584,34.12323089040892
2020-04-04,Los Angeles,037,Baldwin Hills,18,,-118.35609492112957,34.01482481169034
2020-04-04,Los Angeles,037,Baldwin Park,9,,-117.97214234485024,34.08284066018157
2020-04-04,Los Angeles,037,Bel Air,15,,-118.4602961719657,34.09869214592788
2020-04-04,Los Angeles,037,Bell,16,,-118.17978280326322,33.980058332348214
2020-04-04,Los Angeles,037,Bell Gardens,10,,-118.15501366683712,33.96632339582225
2020-04-04,Los Angeles,037,Bellflower,30,,-118.12713566191788,33.88802098401823
2020-04-04,Los Angeles,037,Beverly Crest,24,,-118.42440441872387,34.11297986904566
