date,recoveries_estimated,active_cases
2022-03-03,8783299,108921
2022-03-02,8770043,116472
2022-03-01,8757039,124180
2022-02-28,8742786,132124
2022-02-27,8726482,146460
2022-02-26,8681217,172606
2022-02-25,8680353,172972
2022-02-24,8678689,174072
2022-02-23,8654355,186154
2022-02-22,8634488,198371
2022-02-21,8578354,247099
2022-02-20,8538504,246368
2022-02-19,8473739,310625
2022-02-18,8472489,311146
2022-02-17,8469641,313011
2022-02-16,8429769,339403
2022-02-15,8398515,357430
2022-02-14,8366926,374553
2022-02-13,8324638,400489
2022-02-12,8152507,527177
2022-02-11,8150705,528025
2022-02-10,8145821,531032
2022-02-09,8064110,588483
2022-02-08,7998546,634149
2022-02-07,7899329,677138
2022-02-06,7827855,708221
2022-02-05,7533973,937780
2022-02-04,7530638,939712
2022-02-03,7522098,945145
2022-02-02,7387564,1039595
2022-02-01,7287999,1107901
2022-01-31,7175953,1188313
2022-01-30,7093599,1228488
2022-01-29,6766821,1382809
2022-01-28,6762237,1385449
2022-01-27,6751895,1391058
2022-01-26,6622617,1438528
2022-01-25,6502366,1493343
2022-01-24,6387383,1509528
2022-01-23,6228565,1597018
2022-01-22,5915868,1616008
2022-01-21,5910222,1618654
2022-01-20,5900046,1620957
2022-01-19,5783657,1603304
2022-01-18,5723380,1564517
2022-01-17,5661059,1515538
2022-01-16,5415740,1678962
2022-01-15,5410236,1358295
2022-01-14,5407249,1357475
2022-01-13,5403269,1351811
2022-01-12,5341927,1284539
2022-01-11,5299419,1207514
2022-01-10,5273990,1118383
2022-01-09,5183549,1050727
2022-01-08,5180701,741205
2022-01-07,5179655,737250
2022-01-06,5178025,729495
2022-01-05,5155569,636289
2022-01-04,5138038,593976
2022-01-03,5125548,544369
2022-01-02,5116690,308104
2022-01-01,5090271,328993
2021-12-31,5089970,326492
2021-12-30,5089655,322815
2021-12-29,5082158,268960
2021-12-28,5076473,231833
2021-12-27,5071931,210801
2021-12-26,5066283,125674
2021-12-25,5047343,141318
2021-12-24,5047207,140180
2021-12-23,5046681,138156
2021-12-22,5040111,121494
2021-12-21,5034492,108976
2021-12-20,5029138,101230
2021-12-19,5022380,98453
2021-12-18,5000028,93932
