date,confirmed_cases,deaths,new_confirmed_cases,new_deaths
2020-07-05,264832,6373,4730,38
2020-07-04,260102,6335,6298,17
2020-07-03,253804,6318,6954,53
2020-07-02,246850,6265,7896,97
2020-07-01,238954,6168,6682,80
2020-06-30,232272,6088,8610,103
2020-06-29,223662,5985,8243,52
2020-06-28,215419,5933,4747,35
2020-06-27,210672,5898,3861,31
2020-06-26,206811,5867,5700,62
2020-06-25,201111,5805,5067,80
2020-06-24,196044,5725,4629,98
2020-06-23,191415,5627,6651,63
2020-06-22,184764,5564,6541,53
2020-06-21,178223,5511,3393,20
2020-06-20,174830,5491,3745,69
2020-06-19,171085,5422,3747,69
2020-06-18,167338,5353,3836,72
2020-06-17,163502,5281,4319,81
2020-06-16,159183,5200,3474,85
2020-06-15,155709,5115,3350,33
2020-06-14,152359,5082,2278,23
2020-06-13,150081,5059,3021,73
2020-06-12,147060,4986,3678,53
2020-06-11,143382,4933,3627,79
2020-06-10,139755,4854,2727,105
2020-06-09,137028,4749,3027,92
2020-06-08,134001,4657,3092,27
2020-06-07,130909,4630,2228,25
2020-06-06,128681,4605,2420,68
2020-06-05,126261,4537,3329,84
2020-06-04,122932,4453,3211,69
2020-06-03,119721,4384,2253,64
2020-06-02,117468,4320,2343,100
2020-06-01,115125,4220,2791,47
2020-05-31,112334,4173,2331,28
2020-05-30,110003,4145,3065,57
2020-05-29,106938,4088,3024,97
2020-05-28,103914,3991,2079,73
2020-05-27,101835,3918,2005,93
2020-05-26,99830,3825,3198,58
2020-05-25,96632,3767,2210,12
2020-05-24,94422,3755,1766,18
2020-05-23,92656,3737,1978,68
2020-05-22,90678,3669,2217,65
2020-05-21,88461,3604,2313,103
2020-05-20,86148,3501,2324,82
2020-05-19,83824,3419,2016,132
2020-05-18,81808,3287,1663,47
2020-05-17,80145,3240,1347,32
2020-05-16,78798,3208,1878,55
2020-05-15,76920,3153,1981,102
2020-05-14,74939,3051,1817,77
2020-05-13,73122,2974,2094,91
2020-05-12,71028,2883,1699,103
2020-05-11,69329,2780,1407,63
2020-05-10,67922,2717,1165,24
2020-05-09,66757,2693,2248,64
2020-05-08,64509,2629,2050,85
2020-05-07,62459,2544,1847,82
2020-05-06,60612,2462,1909,80
2020-05-05,58703,2382,2569,88
2020-05-04,56134,2294,1252,74
2020-05-03,54882,2220,1250,24
2020-05-02,53632,2196,1427,60
2020-05-01,52205,2136,1835,91
2020-04-30,50370,2045,1578,87
2020-04-29,48792,1958,2383,82
2020-04-28,46409,1876,1257,86
2020-04-27,45152,1790,1500,65
2020-04-26,43652,1725,1064,27
2020-04-25,42588,1698,1280,77
2020-04-24,41308,1621,1739,85
2020-04-23,39569,1536,1905,93
2020-04-22,37664,1443,1875,115
2020-04-21,35789,1328,1981,91
2020-04-20,33808,1237,2272,44
2020-04-19,31536,1193,725,32
2020-04-18,30811,1161,1372,95
2020-04-17,29439,1066,1284,85
2020-04-16,28155,981,1059,83
2020-04-15,27096,898,1217,100
2020-04-14,25879,798,1465,59
2020-04-13,24414,739,1041,45
2020-04-12,23373,694,843,50
2020-04-11,22530,644,993,41
2020-04-10,21537,603,1207,49
2020-04-09,20330,554,1158,43
2020-04-08,19172,511,1502,56
2020-04-07,17670,455,1147,64
2020-04-06,16523,391,1203,35
2020-04-05,15320,356,1248,32
2020-04-04,14072,324,1314,35
2020-04-03,12758,289,1352,38
2020-04-02,11406,251,1265,29
2020-04-01,10141,222,1261,32
2020-03-31,8880,190,1250,30
2020-03-30,7630,160,949,20
2020-03-29,6681,140,640,13
2020-03-28,6041,127,792,15
2020-03-27,5249,112,884,20
2020-03-26,4365,92,875,14
2020-03-25,3490,78,530,19
2020-03-24,2960,59,441,9
2020-03-23,2519,50,489,9
2020-03-22,2030,41,270,7
2020-03-21,1760,34,220,6
2020-03-20,1540,28,272,5
2020-03-19,1268,23,194,2
2020-03-18,1074,21,168,2
2020-03-17,906,19,197,4
2020-03-16,709,15,113,4
2020-03-15,596,11,84,3
2020-03-14,512,8,120,0
2020-03-13,392,8,84,1
2020-03-12,308,7,56,0
2020-03-11,252,7,56,1
2020-03-10,196,6,23,1
2020-03-09,173,5,53,1
2020-03-08,120,4,12,0
2020-03-07,108,4,21,0
2020-03-06,87,4,21,1
2020-03-05,66,3,16,0
2020-03-04,50,3,11,1
2020-03-03,39,2,7,0
2020-03-02,32,2,8,0
2020-03-01,24,2,2,0
2020-02-29,22,2,5,0
2020-02-28,17,2,3,0
2020-02-27,14,2,0,0
2020-02-26,14,2,3,0
2020-02-25,11,2,0,0
2020-02-24,11,2,1,0
2020-02-23,10,2,0,0
2020-02-22,10,2,0,0
2020-02-21,10,2,2,0
2020-02-20,8,2,1,0
2020-02-19,7,2,0,0
2020-02-18,7,2,0,0
2020-02-17,7,2,1,1
2020-02-16,6,1,0,0
2020-02-15,6,1,0,0
2020-02-14,6,1,0,0
2020-02-13,6,1,0,0
2020-02-12,6,1,0,0
2020-02-11,6,1,0,0
2020-02-10,6,1,0,0
2020-02-09,6,1,0,0
2020-02-08,6,1,0,0
2020-02-07,6,1,0,0
2020-02-06,6,1,0,1
2020-02-05,6,0,0,0
2020-02-04,6,0,0,0
2020-02-03,6,0,0,0
2020-02-02,6,0,2,0
2020-02-01,4,0,0,0
2020-01-31,4,0,0,0
2020-01-30,4,0,0,0
2020-01-29,4,0,1,0
2020-01-28,3,0,0,0
2020-01-27,3,0,1,0
2020-01-26,2,0,,
